Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-704.2,-299.352
Acquisitions net,-,-7818
Sales/Maturities of investments,-,6.003
Net cash used for investing activites,-1073,-8097
Common stock issued,-,12500
Common stock repurchased,-,-1106
Other financing activites,-,-1305
Net cash used privided by (used for) financing activities,912.938,10089
Net change in cash,-1152,1740
Cash at beginning of period,2554,265.585
Cash at end of period,1402,2006
Capital Expenditure,-704.2,-299.352
Free Cash Flow,-1696,-551.023
