Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,113959,112313,107084,101008,90304
Interest Expense,62305,63350,44480,27820,22617
Income Before Tax,41772,40809,37781,33259,24172
Income Tax Expense,1825,1110,1568,10958,-362
Income from Continuing Operations,39947,39699,36213,22301,24534
Net Income,39947,39699,36213,22301,24534
Net Income available to common shareholders,39947,39699,36213,22301,24534
Basic EPS,-,8.63,6.50,4.01,4.41
Diluted EPS,-,7.13,6.50,4.01,4.41
Basic Average Shares,-,5568,5568,5568,5568
Diluted Average Shares,-,7503,5568,5568,5568
