Breakdown,ttm,12/31/2019,12/31/2018
Total Revenue,28976,28976,18473
Selling General and Administrative,1662,1662,1102
Total Operating Expenses,2644,2644,2001
Interest Expense,1043,1043,440
Income Before Tax,26332,26332,16472
Income Tax Expense,0,0,0
Income from Continuing Operations,26332,26332,16472
Net Income,26332,26332,16472
Net Income available to common shareholders,26332,26332,16472
Basic EPS,-,-,0.09
Diluted EPS,-,-,0.09
Basic Average Shares,-,-,192207
Diluted Average Shares,-,-,192207
