Breakdown,ttm,6/30/2019,6/30/2018
Net Income,1268597,1268597,2264533
Depreciation & amortization,1441574,1441574,1311306
Change in working capital,-378201,-378201,41257
Inventory,-23347,-23347,-3636
Other working capital,1369802,1369802,2612899
Other non-cash items,-147680,-147680,-64614
Net cash provided by operating activites,1369802,1369802,2612899
Acquisitions net,-,-,-12500
Sales/Maturities of investments,16404,16404,35532
Other investing activites,-2001866,-2001866,70524
Net cash used for investing activites,-1713098,-1713098,315334
Net change in cash,-1112511,-1112511,4259652
Cash at beginning of period,8049362,8049362,3789709
Cash at end of period,6936851,6936851,8049362
Operating Cash Flow,1369802,1369802,2612899
Free Cash Flow,1369802,1369802,2612899
