Breakdown,ttm,3/31/2018,3/31/2017
Total Revenue,36415,36415,116850
Selling General and Administrative,2093,2093,1943
Total Operating Expenses,2449,2449,1943
Interest Expense,760,760,649
Income Before Tax,33966,33966,114907
Income Tax Expense,4007,4007,4123
Income from Continuing Operations,29959,29959,110784
Net Income,29959,29959,110784
Net Income available to common shareholders,29959,29959,110784
Basic EPS,-,-,0.52
Diluted EPS,-,-,0.52
Basic Average Shares,-,-,211986
Diluted Average Shares,-,-,214698
