Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-331388,-628804,-95055,147979
Depreciation & amortization,-,714103,681798,661358
Change in working capital,-,324777,12597,-64911
Inventory,-,2937,-202654,-68184
Other working capital,-,397608,398898,836281
Other non-cash items,-,-31646,84554,63104
Net cash provided by operating activites,-,727452,633728,1882726
Investments in property plant and equipment,-,-329844,-234830,-1046445
Acquisitions net,-,-26300,-42000,-8422
Purchases of investments,-,-138059,-43146,-294106
Sales/Maturities of investments,-,110961,301146,63785
Other investing activites,-,-4536,-124999,-28600
Net cash used for investing activites,-,-468438,-157819,-1535274
Net change in cash,-,-101342,379963,-196614
Cash at beginning of period,-,1955703,1574884,1771499
Cash at end of period,-,1854361,1955703,1574884
Operating Cash Flow,-,727452,633728,1882726
Capital Expenditure,-,-329844,-234830,-1046445
Free Cash Flow,-,397608,398898,836281
