Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,8941000,12184000,10205000,8518000
Depreciation & amortization,-,1755000,1701000,1580000
Change in working capital,-,-1794000,-7531000,-2749000
Inventory,-,1702000,-9587000,-1270000
Other working capital,-,6468000,7077000,6966000
Other non-cash items,-,-977000,4901000,879000
Net cash provided by operating activites,-,9306000,8001000,8248000
Investments in property plant and equipment,-,-2838000,-924000,-1282000
Purchases of investments,-,-692000,-691000,-1208000
Sales/Maturities of investments,-,606000,2046000,278000
Other investing activites,-,1000,-1000,1000
Net cash used for investing activites,-,-965000,2223000,-213000
Net change in cash,-,2628000,4316000,2461000
Cash at beginning of period,-,60675000,56359000,53325000
Cash at end of period,-,63789000,60675000,56359000
Operating Cash Flow,-,9306000,8001000,8248000
Capital Expenditure,-,-2838000,-924000,-1282000
Free Cash Flow,-,6468000,7077000,6966000
