Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,10560,10503,12231,10128,11665
Interest Expense,-,85,-,-,-
Income Before Tax,9563,9555,11316,7817,9389
Income Tax Expense,904,642,956,247,544
Income from Continuing Operations,8659,8913,10360,7570,8845
Net Income,8659,8913,10360,7570,8845
Net Income available to common shareholders,8659,8913,10360,7570,8845
Basic EPS,-,0.06,0.07,0.05,0.06
Diluted EPS,-,0.06,0.07,0.05,0.06
Basic Average Shares,-,159455,157790,156285,150135
Diluted Average Shares,-,159455,157790,156285,150135
