Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,59752,119893,202889,161779
Change in working capital,-,-1173,3255,-
Other working capital,48479,38213,35502,18989
Net cash provided by operating activites,-,38213,35502,-
Net cash used for investing activites,-82052,-92365,-23339,-9484
Net change in cash,59420,-7805,20311,-6553
Cash at beginning of period,92794,98752,84283,84863
Cash at end of period,152214,95895,98752,84283
Operating Cash Flow,-,38213,35502,-
Free Cash Flow,48479,38213,35502,18989
