Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,73795,73795,66333,58358,57074
Interest Expense,10283,10283,4625,3915,3693
Income Before Tax,23409,23409,26263,20590,21109
Income Tax Expense,3905,3905,4250,7156,5347
Income from Continuing Operations,19504,19504,22013,13434,15762
Net Income,19504,19504,22013,13434,15762
Net Income available to common shareholders,19404,19404,21903,13365,15762
Basic EPS,-,-,1.80,1.10,1.30
Diluted EPS,-,-,1.79,1.10,1.30
Basic Average Shares,-,-,12230,12116,12098
Diluted Average Shares,-,-,12259,12155,12128
