Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,14896000,15996000,29717000,32862000
Depreciation & amortization,5535000,5719000,5695000,5907000
Change in working capital,7231000,-5645000,-3063000,5474000
Inventory,-504000,-2863000,-2026000,1057000
Other working capital,24409000,4985000,21276000,36353000
Other non-cash items,590000,330000,1156000,2250000
Net cash provided by operating activites,30461000,15428000,29795000,47229000
Investments in property plant and equipment,-6052000,-10443000,-8519000,-10876000
Purchases of investments,-257321000,-284304000,-196000000,-94701000
Sales/Maturities of investments,267996000,277158000,134348000,104366000
Other investing activites,2443000,1788000,1532000,2012000
Net cash used for investing activites,7099000,-15801000,-68607000,890000
Net change in cash,30885000,-9588000,-47877000,38783000
Cash at beginning of period,49389000,62849000,110726000,71943000
Cash at end of period,80332000,53260000,62849000,110726000
Operating Cash Flow,30461000,15428000,29795000,47229000
Capital Expenditure,-6052000,-10443000,-8519000,-10876000
Free Cash Flow,24409000,4985000,21276000,36353000
