Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-9755,-7806,-20557,-10104
Acquisitions net,-,-,-,-45428
Net cash used for investing activites,-9755,-7806,-20557,-55532
Debt repayment,-12736,-1146,-3000,-
Dividends Paid,-,-7041,-14082,-14062
Other financing activites,-,1375,368,363
Net cash used privided by (used for) financing activities,-20467,-6812,-16714,31037
Net change in cash,2968,9031,-3633,-6943
Cash at beginning of period,171,-3497,248,6404
Cash at end of period,3139,5488,-3497,248
Capital Expenditure,-9755,-7806,-20557,-10104
Free Cash Flow,23435,15843,13081,7448
