Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-7973,-7973,-1533,-805
Acquisitions net,-,-,-,-9645
Purchases of investments,-1496,-1496,-27058,-88030
Sales/Maturities of investments,38,38,652,7622
Other investing activites,-69568,-69568,-64317,-43454
Net cash used for investing activites,-71513,-71513,-55193,-134312
Debt repayment,-2459,-2459,-,-
Common stock issued,-,-,8131,169150
Common stock repurchased,-34604,-34604,-9800,-2414
Dividends Paid,-12558,-12558,-10767,-31000
Other financing activites,3203,3203,8274,-10908
Net cash used privided by (used for) financing activities,85634,85634,20838,156978
Net change in cash,42154,42154,-1783,51012
Cash at beginning of period,86652,86652,87786,37229
Cash at end of period,128800,128800,86652,87786
Capital Expenditure,-7973,-7973,-1533,-805
Free Cash Flow,20060,20060,31039,27541
