Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,3949578,4061716,3170509,2192192
Liabilities,,,,
Total Liabilities,3471518,3605775,2796365,1934228
Stockholders' Equity,,,,
Common Stock,174,173,161,132
Retained Earnings,125757,101326,65512,44328
Accumulated other comprehensive income,-3,-4867,-3092,-2702
Total stockholders' equity,478060,455941,374144,257964
Total liabilities and stockholders' equity,3949578,4061716,3170509,2192192
