Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,9695,9695,10747,11530,10816
Interest Expense,4937,4937,3979,2778,2156
Income Before Tax,-614,-614,167,738,1266
Income Tax Expense,-101,-101,32,448,328
Income from Continuing Operations,-513,-513,135,290,938
Net Income,-513,-513,135,290,938
Net Income available to common shareholders,-513,-513,135,290,938
Basic EPS,-,-,0.07,0.15,0.49
Diluted EPS,-,-,0.07,0.15,0.49
Basic Average Shares,-,-,1909,1899,1901
Diluted Average Shares,-,-,1909,1899,1901
