Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-5386000,-8525000,4935000,1074000
Depreciation & amortization,5594000,6002000,5906000,5418000
Change in working capital,-715000,20000,-1051000,-391000
Inventory,97000,-1491000,-558000,-1003000
Other working capital,-1656000,-2736000,-2197000,1705000
Other non-cash items,3792000,2640000,2531000,2070000
Net cash provided by operating activites,6064000,5414000,8617000,10383000
Investments in property plant and equipment,-7720000,-8150000,-10814000,-8678000
Purchases of investments,-27000,-359000,-26000,-133000
Sales/Maturities of investments,-,42000,-,-
Other investing activites,-308000,-70000,55000,-96000
Net cash used for investing activites,-4860000,-8308000,-10508000,-8586000
Net change in cash,-1018000,445000,3136000,-1091000
Cash at beginning of period,14642000,15060000,11924000,13015000
Cash at end of period,14116000,15505000,15060000,11924000
Operating Cash Flow,6064000,5414000,8617000,10383000
Capital Expenditure,-7720000,-8150000,-10814000,-8678000
Free Cash Flow,-1656000,-2736000,-2197000,1705000
