Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-247.728,-247.728,-189.271,-432.789,-10533
Other investing activites,-,-,57.119,-,0.265
Net cash used for investing activites,-247.598,-247.598,-131.912,-432.611,-10532
Debt repayment,-,-,-1600,-1000,-
Net cash used privided by (used for) financing activities,-,-,-1300,3100,12950
Net change in cash,429.857,429.857,17.92,-526.223,-1620
Cash at beginning of period,4676,4676,4658,5184,6804
Cash at end of period,5106,5106,4676,4658,5184
Capital Expenditure,-247.728,-247.728,-189.271,-432.789,-10533
Free Cash Flow,429.727,429.727,1261,-3626,-14571
