Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-11696,-7279,-519,-1038
Other investing activites,-,-,-,0
Net cash used for investing activites,-11696,-7279,-519,-1038
Debt repayment,-52,-50,-46,-
Common stock issued,-,15048,-,-
Common stock repurchased,-,-778,-,-
Net cash used privided by (used for) financing activities,-518,14220,-46,-
Net change in cash,-8264,10588,851,-2633
Cash at beginning of period,18971,5232,4451,7118
Cash at end of period,10707,15732,5232,4451
Capital Expenditure,-11696,-7279,-519,-1038
Free Cash Flow,-7746,-3632,897,-2633
