Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2578000,721000,-5206000,1255000
Depreciation & amortization,-,7979000,8836000,9021000
Change in working capital,-,-1239000,783000,2912000
Inventory,-,-1360000,-706000,1206000
Other working capital,-,1492000,2869000,7378000
Other non-cash items,-,232000,21000,-35000
Net cash provided by operating activites,-,6320000,7413000,13179000
Investments in property plant and equipment,-,-4828000,-4544000,-5801000
Purchases of investments,-,-4000,-92000,-270000
Sales/Maturities of investments,-,917000,1000,285000
Other investing activites,-,193000,-21000,-16000
Net cash used for investing activites,-,-3061000,-7568000,-10577000
Net change in cash,-,1161000,-1608000,-242000
Cash at beginning of period,-,4757000,6365000,6624000
Cash at end of period,-,5918000,4757000,6365000
Operating Cash Flow,-,6320000,7413000,13179000
Capital Expenditure,-,-4828000,-4544000,-5801000
Free Cash Flow,-,1492000,2869000,7378000
