Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,145051,155132,66195,47263
Liabilities,,,,
Total Liabilities,1009,346,206,191
Stockholders' Equity,,,,
Common Stock,2040,1767,816,620
Total stockholders' equity,144042,154786,65989,47072
Total liabilities and stockholders' equity,145051,155132,66195,47263
