Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,601558,965275,1414636,1353206
Liabilities,,,,
Total Liabilities,23525,53389,106565,87164
Stockholders' Equity,,,,
Common Stock,991695,1360036,1631171,1690372
Retained Earnings,-413662,-448149,-323100,-424329
Total stockholders' equity,578033,911886,1308071,1266043
Total liabilities and stockholders' equity,601558,965275,1414636,1353206
