Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,119107,160348,120212,86010
Depreciation & amortization,-,114447,122424,113625
Change in working capital,-,-76408,97639,-54553
Inventory,-,36464,-52320,64468
Other working capital,-,127406,242286,121435
Other non-cash items,-,-,-,-19045
Net cash provided by operating activites,-,138651,308510,137072
Investments in property plant and equipment,-,-11245,-66224,-15637
Acquisitions net,-,-,-1000,-
Purchases of investments,-,-20201,-15448,-19170
Sales/Maturities of investments,-,-,18143,-
Other investing activites,-,4081,-,-2
Net cash used for investing activites,-,-25241,-63985,37579
Net change in cash,-,82547,213320,143855
Cash at beginning of period,-,606092,392772,248916
Cash at end of period,-,688640,606092,392772
Operating Cash Flow,-,138651,308510,137072
Capital Expenditure,-,-11245,-66224,-15637
Free Cash Flow,-,127406,242286,121435
