Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2008000,2050000,2313000,759000
Depreciation & amortization,-,371000,366000,356000
Change in working capital,-,614000,2965000,-1356000
Inventory,-,-935000,-1391000,629000
Other working capital,-,2309000,5253000,-830000
Other non-cash items,-,-163000,-86000,-88000
Net cash provided by operating activites,-,2730000,5593000,-636000
Investments in property plant and equipment,-,-421000,-340000,-194000
Acquisitions net,-,-142000,-,-
Purchases of investments,-,-53000,-1167000,-41000
Sales/Maturities of investments,-,46000,0,16000
Other investing activites,-,19000,52000,-
Net cash used for investing activites,-,-459000,-1473000,-207000
Net change in cash,-,1012000,2465000,-855000
Cash at beginning of period,-,4940000,2475000,3330000
Cash at end of period,-,5953000,4940000,2475000
Operating Cash Flow,-,2730000,5593000,-636000
Capital Expenditure,-,-421000,-340000,-194000
Free Cash Flow,-,2309000,5253000,-830000
