Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017
Net Income,-16194,-16194,10703,11157
Change in working capital,-8,-8,-61,112
Other working capital,-1764,-1764,41,-2154
Net cash provided by operating activites,-1764,-1764,41,-2154
Purchases of investments,-17175,-17175,-38005,-43015
Sales/Maturities of investments,36896,36896,36578,24606
Net cash used for investing activites,19721,19721,-1427,-18409
Net change in cash,9896,9896,581,-23595
Cash at beginning of period,1096,1096,515,24110
Cash at end of period,10992,10992,1096,515
Operating Cash Flow,-1764,-1764,41,-2154
Free Cash Flow,-1764,-1764,41,-2154
