Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,14672000,18521000,14226000,10241000
Depreciation & amortization,-,5598000,5065000,5463000
Change in working capital,-,-15454000,855000,-2568000
Inventory,-,-6196000,-2422000,1510000
Other working capital,-,3519000,20360000,1284000
Other non-cash items,-,773000,4262000,317000
Net cash provided by operating activites,-,11649000,29827000,9928000
Investments in property plant and equipment,-,-8130000,-9467000,-8644000
Purchases of investments,-,-268000,-977000,-29000
Sales/Maturities of investments,-,1079000,254000,151000
Other investing activites,-,2403000,-2295000,-1189000
Net cash used for investing activites,-,-4913000,-12441000,-9633000
Net change in cash,-,-1003000,11002000,-1201000
Cash at beginning of period,-,59371000,48369000,49570000
Cash at end of period,-,58367000,59371000,48369000
Operating Cash Flow,-,11649000,29827000,9928000
Capital Expenditure,-,-8130000,-9467000,-8644000
Free Cash Flow,-,3519000,20360000,1284000
