Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-693.853,-186.167,-536.121,-16.734
Acquisitions net,-,-,-43.132,-,-
Purchases of investments,-,-,-931.138,-,-
Sales/Maturities of investments,-,-,-,152.671,277.184
Other investing activites,-,-15.426,-,-,-18.307
Net cash used for investing activites,-565.6,-721.575,-1160,-383.737,242.156
Debt repayment,-,-,-,-28.034,-
Common stock issued,2334,3311,2732,1899,714.047
Common stock repurchased,-37.639,-39.964,-,-,-
Net cash used privided by (used for) financing activities,2378,3377,3010,1871,1313
Net change in cash,144.517,235.933,35.253,-106.887,-696.371
Cash at beginning of period,140.016,282.077,236.899,363.871,1088
Cash at end of period,284.533,518.627,282.077,236.899,363.871
Capital Expenditure,-,-693.853,-186.167,-536.121,-16.734
Free Cash Flow,-2359,-3114,-2001,-2130,-2268
