Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,526203,195806,832809,1428019
Depreciation & amortization,-,487290,387057,389144
Change in working capital,-,38106,-541073,-207284
Inventory,-,-715564,364885,-344738
Other working capital,-,-26346,15430,909380
Other non-cash items,-,-93715,54644,-355140
Net cash provided by operating activites,-,576935,892826,1421309
Investments in property plant and equipment,-,-603281,-877396,-511929
Purchases of investments,-,-14598,-36577,-57058
Sales/Maturities of investments,-,-,57062,102717
Other investing activites,-,-27334,21058,-43458
Net cash used for investing activites,-,-638541,-833045,-492460
Net change in cash,-,142922,1771450,-607787
Cash at beginning of period,-,4630595,2859144,3466931
Cash at end of period,-,4773517,4630595,2859144
Operating Cash Flow,-,576935,892826,1421309
Capital Expenditure,-,-603281,-877396,-511929
Free Cash Flow,-,-26346,15430,909380
