Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3791,-5119,-13708,-26313,-15500
Purchases of investments,-,-,-,-551.891,-103.013
Sales/Maturities of investments,-,-,-,-,94.5
Other investing activites,5590,1167,5533,423.794,286.612
Net cash used for investing activites,1799,-3952,-8175,-25887,1546
Debt repayment,-,-649.421,-6454,-,-
Common stock issued,-,2810,15000,2953,15373
Common stock repurchased,-,-60.667,-577.5,-,-154.833
Net cash used privided by (used for) financing activities,4128,4519,13132,11268,15219
Net change in cash,238.111,-3599,865.395,-21651,9688
Cash at beginning of period,2259,3679,2946,24474,15388
Cash at end of period,2497,300.544,3679,2946,24474
Capital Expenditure,-3791,-5119,-13708,-26313,-15500
Free Cash Flow,-9480,-9285,-17800,-33344,-22577
