Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,336948,314535,296034,319961
Liabilities,,,,
Total Liabilities,193864,143012,126086,157212
Stockholders' Equity,,,,
Common Stock,13.62,13.649,13.689,13.68
Retained Earnings,-55329,2951,-2339,-1736
Total stockholders' equity,143084,171523,169948,162750
Total liabilities and stockholders' equity,336948,314535,296034,319961
