Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,45384,45384,43904,41819,33769
Interest Expense,8678,8678,5657,4080,3654
Income Before Tax,16823,16823,16204,14749,8595
Income Tax Expense,2608,2608,2553,6551,1884
Income from Continuing Operations,14215,14215,13651,8198,6711
Net Income,14215,14215,13651,8198,6711
Net Income available to common shareholders,14215,14215,13651,8198,6711
Basic EPS,-,-,2.19,1.32,1.16
Diluted EPS,-,-,2.17,1.31,1.15
Basic Average Shares,-,-,6233,6211,5785
Diluted Average Shares,-,-,6291,6258,5819
