Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,22161000,23321000,28366000,26304000
Depreciation & amortization,-,6761000,6325000,5876000
Change in working capital,-,92565000,-284677000,153880000
Other working capital,-,118908000,-273661000,168623000
Other non-cash items,-,-63516000,-82370000,-74026000
Net cash provided by operating activites,-,126908000,-266292000,177143000
Investments in property plant and equipment,-,-8000000,-7369000,-8520000
Purchases of investments,-,-526549000,-390891000,-564597000
Sales/Maturities of investments,-,585288000,699304000,604985000
Other investing activites,-,-1000,-1000,-2000
Net cash used for investing activites,-,50850000,301136000,31866000
Net change in cash,-,178010000,36624000,209277000
Cash at beginning of period,-,570054000,533429000,324151000
Cash at end of period,-,748064000,570054000,533429000
Operating Cash Flow,-,126908000,-266292000,177143000
Capital Expenditure,-,-8000000,-7369000,-8520000
Free Cash Flow,-,118908000,-273661000,168623000
