Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,792103,1078028,665855,713204
Depreciation & amortization,-,1595328,1710039,1600726
Change in working capital,-,170181,-350933,-309468
Inventory,-,486927,-667872,-444833
Other working capital,-,2322660,16963,2232558
Other non-cash items,-,154763,-658941,1026614
Net cash provided by operating activites,-,3164764,1826760,3253612
Investments in property plant and equipment,-,-842104,-1809797,-1021054
Acquisitions net,-,-,-59386,-10630
Purchases of investments,-,-22800,-,-
Sales/Maturities of investments,-,13200,-,-
Other investing activites,-,20387,-302862,-115985
Net cash used for investing activites,-,-831317,-2098832,-1147669
Net change in cash,-,-8265,-1129315,1738647
Cash at beginning of period,-,4568019,5695588,3956940
Cash at end of period,-,4568351,4568019,5695588
Operating Cash Flow,-,3164764,1826760,3253612
Capital Expenditure,-,-842104,-1809797,-1021054
Free Cash Flow,-,2322660,16963,2232558
