Attribute,Value
Previous Close,22.85
Open,23.31
Bid,N/A x N/A
Ask,N/A x N/A
Day's Range,22.73 - 23.31
52 Week Range,13.55 - 33.28
Volume,1945
Avg. Volume,
Net Assets,
NAV,
PE Ratio (TTM),
Yield,
YTD Daily Total Return,
Beta (5Y Monthly),
Expense Ratio (net),
Inception Date,
