Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,743000,912000,1558000,204000
Depreciation & amortization,-,214000,278000,208000
Change in working capital,-,-94000,233000,-1224000
Inventory,-,722000,-21000,-1054000
Other working capital,-,-1363000,1523000,-1461000
Other non-cash items,-,-490000,108000,-54000
Net cash provided by operating activites,-,504000,1612000,-826000
Investments in property plant and equipment,-,-1867000,-89000,-635000
Acquisitions net,-,-,-,-870000
Purchases of investments,-,-200000,-1010000,-152000
Sales/Maturities of investments,-,64000,294000,38000
Other investing activites,-,75000,-83000,-110000
Net cash used for investing activites,-,-2216000,88000,-1648000
Net change in cash,-,432000,1681000,-428000
Cash at beginning of period,-,2383000,436000,864000
Cash at end of period,-,2816000,2383000,436000
Operating Cash Flow,-,504000,1612000,-826000
Capital Expenditure,-,-1867000,-89000,-635000
Free Cash Flow,-,-1363000,1523000,-1461000
