Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-468,-468,-,-5.642
Acquisitions net,-,-,-2693,4.382
Net cash used for investing activites,-468,-468,-2693,-1.26
Debt repayment,-943,-943,-869.354,-769.18
Common stock issued,45254,45254,-,58550
Common stock repurchased,-,-,-,-2989
Other financing activites,-1588,-1588,-,-
Net cash used privided by (used for) financing activities,42723,42723,-869.354,54792
Net change in cash,18922,18922,-24312,48759
Cash at beginning of period,25771,25771,48759,-
Cash at end of period,44598,44598,25771,48759
Capital Expenditure,-468,-468,-,-5.642
Free Cash Flow,-23801,-23801,-20749,-6037
