Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-5959,-8273,-5640,-7512,-2635
Sales/Maturities of investments,6176,6383,7739,-,-
Other investing activites,-152.411,-125,-190,-,-
Net cash used for investing activites,1711,-368,2455,-6780,581.679
Net change in cash,-914.221,-2426,1822,-7068,-1097
Cash at beginning of period,1891,3694,1872,1715,8586
Cash at end of period,976.417,1268,3694,1872,1715
Capital Expenditure,-5959,-8273,-5640,-7512,-2635
Free Cash Flow,-8585,-10331,-6273,-7800,-4313
