Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-778000,1803000,5165000,-14610000
Depreciation & amortization,-,1461000,1434000,1156000
Change in working capital,-,-10079000,-18054000,-10731000
Inventory,-,6938000,507000,-3672000
Other working capital,-,-7419000,-13646000,-15039000
Other non-cash items,-,1223000,467000,313000
Net cash provided by operating activites,-,-6635000,-11990000,-11023000
Investments in property plant and equipment,-,-784000,-1656000,-4016000
Purchases of investments,-,-37000,-,-
Sales/Maturities of investments,-,470000,688000,626000
Other investing activites,-,-1000,-29000,-8000
Net cash used for investing activites,-,58000,-789000,-2439000
Net change in cash,-,-2649000,582000,-572000
Cash at beginning of period,-,4563000,3980000,4552000
Cash at end of period,-,1913000,4563000,3980000
Operating Cash Flow,-,-6635000,-11990000,-11023000
Capital Expenditure,-,-784000,-1656000,-4016000
Free Cash Flow,-,-7419000,-13646000,-15039000
