Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-146.449,-140.892,-219.281,-847.792,-77.033
Other investing activites,-,-,2500,-,-
Net cash used for investing activites,-146.449,-140.892,2286,-847.792,-77.033
Common stock issued,12161,8831,-,5635,246.727
Common stock repurchased,-,-441.069,-5.447,-,-4.902
Net cash used privided by (used for) financing activities,10221,8390,-5.447,5635,241.825
Net change in cash,1408,2716,-2343,4410,-418.822
Cash at beginning of period,1425,2076,4410,-,761.667
Cash at end of period,2833,4792,2076,4410,342.845
Capital Expenditure,-146.449,-140.892,-219.281,-847.792,-77.033
Free Cash Flow,-8814,-5674,-4843,-1225,-660.647
