Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-247.874,-50.561,-83.51,-142.533
Purchases of investments,-,-,-,-,-2890
Sales/Maturities of investments,-,-,-,-,13167
Net cash used for investing activites,-,-247.874,-50.561,-83.51,10134
Common stock repurchased,-0.212,-0.04,-,-0.06,-1.191
Dividends Paid,-11.752,-373.199,-739.786,-648.633,-655.53
Net cash used privided by (used for) financing activities,-11.964,-373.239,-739.786,-648.693,-656.721
Net change in cash,115.014,-21.636,-280.051,-776.301,1209
Cash at beginning of period,134.18,288.371,568.422,1345,135.674
Cash at end of period,249.194,266.735,288.371,568.422,1345
Capital Expenditure,-,-247.874,-50.561,-83.51,-142.533
Free Cash Flow,126.978,351.603,459.735,-127.608,-8411
