Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-430.354,-251.972,-712.307,-1831,-1381
Acquisitions net,-,-,-,-829.424,-
Purchases of investments,-,-,-,-,-1.279
Sales/Maturities of investments,-,-,68.901,-,30.406
Other investing activites,-,-15.72,-,-,-
Net cash used for investing activites,4252,-267.692,-523.406,-2660,-1352
Common stock issued,-,3363,350,2127,2424
Common stock repurchased,-,-42.832,-13.588,-81.526,-112.646
Other financing activites,-,-1000,-60,-,-
Net cash used privided by (used for) financing activities,-1001,2320,366.412,2045,2312
Net change in cash,-127.481,131.859,-200.99,-1213,537.845
Cash at beginning of period,161.481,28.823,229.813,1443,905.455
Cash at end of period,34,160.682,28.823,229.813,1443
Capital Expenditure,-430.354,-251.972,-712.307,-1831,-1381
Free Cash Flow,-3810,-2172,-756.303,-2429,-1803
