Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,114064,114064,115609,113635,110097
Interest Expense,5515,5515,7449,8090,9844
Income Before Tax,49796,49796,45122,42113,37945
Income Tax Expense,10994,10994,8782,20628,12819
Income from Continuing Operations,38802,38802,36340,21485,25126
Net Income,38802,38802,36340,21485,25126
Net Income available to common shareholders,38802,38802,36340,21485,25126
Basic EPS,-,-,2.19,1.26,1.45
Diluted EPS,-,-,2.18,1.26,1.45
Basic Average Shares,-,-,16588,17002,17320
Diluted Average Shares,-,-,16666,17078,17366
