Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,201000,22114000,47390000,34920000
Depreciation & amortization,-,44188000,36004000,33076000
Change in working capital,-,2935000,-18198000,-25911000
Inventory,-,-912000,-4700000,-4468000
Other working capital,-,11777000,3079000,-5878000
Other non-cash items,-,-2216000,348000,6506000
Net cash provided by operating activites,-,72671000,70387000,41603000
Investments in property plant and equipment,-,-60894000,-67308000,-47481000
Acquisitions net,-,-1296000,-,-
Purchases of investments,-,-8003000,-1047000,-1683000
Sales/Maturities of investments,-,2973000,1262000,2669000
Other investing activites,-,-1338000,371000,-884000
Net cash used for investing activites,-,-67405000,-66722000,-37981000
Net change in cash,-,-2460000,2786000,1148000
Cash at beginning of period,-,120778000,117991000,116843000
Cash at end of period,-,118318000,120778000,117991000
Operating Cash Flow,-,72671000,70387000,41603000
Capital Expenditure,-,-60894000,-67308000,-47481000
Free Cash Flow,-,11777000,3079000,-5878000
