Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,36257230,32728775,28767785,25678162
Liabilities,,,,
Total Liabilities,32216497,29063265,25483453,22784944
Stockholders' Equity,,,,
Common Stock,2565892,2470313,2291065,2121765
Total stockholders' equity,4040733,3665510,3284332,2893218
Total liabilities and stockholders' equity,36257230,32728775,28767785,25678162
