Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,377626,344274,343239,318600
Liabilities,,,,
Total Liabilities,259232,242902,230256,213094
Stockholders' Equity,,,,
Common Stock,22456,22456,22456,22456
Retained Earnings,36020,37208,30993,27272
Accumulated other comprehensive income,10459,-7535,9751,5830
Total stockholders' equity,118394,101372,112983,105506
Total liabilities and stockholders' equity,377626,344274,343239,318600
