Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,194354,194354,162954,153273,140065
Interest Expense,85165,85165,58918,36255,31096
Income Before Tax,94026,94026,71134,68514,42858
Income Tax Expense,20631,20631,10782,25294,11776
Income from Continuing Operations,73395,73395,60352,43220,31082
Net Income,73395,73395,60352,43220,31082
Net Income available to common shareholders,73100,73100,60213,43079,30913
Basic EPS,-,-,1.87,1.35,1.02
Diluted EPS,-,-,1.86,1.34,1.01
Basic Average Shares,-,-,32274,32015,30382
Diluted Average Shares,-,-,32447,32254,30676
