Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,118131,78537,42242
Liabilities,,,
Total Liabilities,506,600,83
Stockholders' Equity,,,
Common Stock,1736,1121,574
Retained Earnings,-,25258,36208
Total stockholders' equity,117625,77937,42159
Total liabilities and stockholders' equity,118131,78537,42242
