Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-622.939,-666.581,-162.304,-3065
Acquisitions net,-,-,-167.039,-
Other investing activites,-,-,-45.207,-
Net cash used for investing activites,-622.938,-666.581,-374.55,-3065
Common stock issued,11109,12136,11993,8439
Other financing activites,-,-,-,622
Net cash used privided by (used for) financing activities,9944,13538,11993,9061
Net change in cash,865.72,2662,1062,667.35
Cash at beginning of period,3654,2461,1388,720.227
Cash at end of period,4520,5117,2461,1388
Capital Expenditure,-622.939,-666.581,-162.304,-3065
Free Cash Flow,-9079,-10876,-10719,-8394
