Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,74041,91639,349469,548871
Depreciation & amortization,-,2658963,2317512,1647926
Change in working capital,-,-464109,478463,-254690
Inventory,-,-246773,-300177,-6025
Other working capital,-,-323916,1748666,-3116135
Other non-cash items,-,-250034,190078,14966
Net cash provided by operating activites,-,2231274,3067888,1852721
Investments in property plant and equipment,-,-2555190,-1319222,-4968856
Acquisitions net,-,-,-8580,-
Purchases of investments,-,-105615,-66932,-117766
Sales/Maturities of investments,-,-,-,17071
Other investing activites,-,79107,-3060,-343237
Net cash used for investing activites,-,-2576277,-1382827,-5410917
Net change in cash,-,892626,-256025,791101
Cash at beginning of period,-,4612747,4868773,4077672
Cash at end of period,-,5505373,4612747,4868773
Operating Cash Flow,-,2231274,3067888,1852721
Capital Expenditure,-,-2555190,-1319222,-4968856
Free Cash Flow,-,-323916,1748666,-3116135
