Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1459,-1622,-953.1187,-1598,-209.76
Other investing activites,-,-,-896.5674,-21.529,-
Net cash used for investing activites,-1528,-1622,-951.0892,-1619,-209.76
Debt repayment,-2177,-1795,-7007,-,-
Common stock issued,-,-,14722,663.033,9906
Common stock repurchased,-,-,-706.2346,-,-396
Other financing activites,-,-,-614.2322,-293.947,-
Net cash used privided by (used for) financing activities,1122,-1795,19383,7044,9510
Net change in cash,-9454,-9608,10911,-7302,-776.008
Cash at beginning of period,17273,15174,3546,11219,11622
Cash at end of period,7819,5480,14398,3410,11219
Capital Expenditure,-1459,-1622,-953.1187,-1598,-209.76
Free Cash Flow,-10507,-7813,-8474,-14325,-10286
