Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1483404,1636066,2184072,1950924
Depreciation & amortization,-,157928,183075,197951
Change in working capital,-,3429581,591759,-4067545
Inventory,-,1074920,4186403,-7903811
Other working capital,-,5309317,2937493,-2178573
Other non-cash items,-,-2504,129824,211802
Net cash provided by operating activites,-,5309317,2937493,-2178573
Purchases of investments,-,-3637812,-540758,-
Sales/Maturities of investments,-,39643,249107,596533
Other investing activites,-,-226095,71305,-389853
Net cash used for investing activites,-,-3824061,-220105,206868
Net change in cash,-,2024138,-526470,440216
Cash at beginning of period,-,920644,1447115,1006899
Cash at end of period,-,2944783,920644,1447115
Operating Cash Flow,-,5309317,2937493,-2178573
Free Cash Flow,-,5309317,2937493,-2178573
