Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Net Income,-166947,-28418,-181778,-81528,-105126
Other working capital,-35591,-27382,-51086,-91152,-85185
Net cash provided by operating activites,-,-,-,-38257,-31210
Investments in property plant and equipment,-8900,-5418,-25793,-52894,-53975
Acquisitions net,-,-,-,0,0
Purchases of investments,-,-,-,0,0
Sales/Maturities of investments,-,-,-,0,0
Other investing activites,-74.709,2553,-2423,1947,10.615
Net cash used for investing activites,-8975,-2864,-28215,-50947,-53961
Debt repayment,-,-,-,0,0
Common stock issued,-,-,-,0,0
Common stock repurchased,-,-,-,-672.687,-2567
Dividends Paid,-,-,-,0,0
Other financing activites,6.428,-94.081,-64.29,-66.15,0
Net cash used privided by (used for) financing activities,6.428,-94.081,-64.29,-738.837,-2567
Net change in cash,-35659,-24923,-53573,-89943,-87738
Cash at beginning of period,333889,333573,375069,479590,553091
Cash at end of period,298230,326191,333573,375069,479590
Operating Cash Flow,-,-,-,-38257,-31210
Capital Expenditure,-8900,-5418,-25793,-52894,-53975
Free Cash Flow,-35591,-27382,-51086,-91152,-85185
