Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,580545,313847,344104,228277,-12840
Interest Expense,2788,2117,829,1980,1408
Income Before Tax,578510,312238,342740,226822,-14077
Income Tax Expense,173530,93663,102822,68048,-4222
Income from Continuing Operations,404980,218575,239918,158774,-9855
Net Income,404980,218575,239918,158774,-9855
Net Income available to common shareholders,404980,218575,239918,158774,-9855
Basic EPS,-,0.40,0.46,0.34,-0.02
Diluted EPS,-,0.40,0.45,0.32,-0.02
Basic Average Shares,-,541423,525680,472968,477474
Diluted Average Shares,-,541423,534220,502608,477474
