Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,548155,496224,478697,456383
Liabilities,,,,
Total Liabilities,221887,235090,250628,237798
Stockholders' Equity,,,,
Common Stock,8828,8949,9020,9065
Retained Earnings,32069,32069,32069,32069
Total stockholders' equity,326268,261134,228069,218585
Total liabilities and stockholders' equity,548155,496224,478697,456383
