Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2660,-2722,-10219,-1695,-1637
Sales/Maturities of investments,-,-,73,-,40.764
Net cash used for investing activites,-2660,-2722,-10132,-1694,-1593
Debt repayment,-,-5000,-,-2000,-
Common stock issued,-,8275,-,13670,825
Common stock repurchased,-,-45,-52,-92,-
Other financing activites,-,-,-52,-,-
Net cash used privided by (used for) financing activities,8000,6230,4948,13578,825
Net change in cash,-1635,-1601,-6766,9516,-3219
Cash at beginning of period,2819,3301,10067,551,3770
Cash at end of period,1184,1700,3301,10067,550.804
Capital Expenditure,-2660,-2722,-10219,-1695,-1637
Free Cash Flow,-9635,-7831,-11801,-4063,-4088
