Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,698690000,676689000,690059000,731856000
Liabilities,,,,
Total Liabilities,643766000,623816000,636737000,676428000
Stockholders' Equity,,,,
Common Stock,3267000,3267000,3267000,3218000
Retained Earnings,26402000,23018000,25474000,23688000
Accumulated other comprehensive income,-7360000,-7271000,-8824000,-5505000
Total stockholders' equity,48723000,47109000,46343000,47364000
Total liabilities and stockholders' equity,698690000,676689000,690059000,731856000
