Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,415668,465994,311787
Liabilities,,,
Total Liabilities,49.079,43.966,103.315
Stockholders' Equity,,,
Common Stock,462605,450899,299113
Retained Earnings,-46986,15051,12571
Total stockholders' equity,415619,465950,311684
Total liabilities and stockholders' equity,415668,465994,311787
