Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-0.348,-4.029,-456.575,-,-
Other investing activites,-,-,221.766,-,-667.555
Net cash used for investing activites,-0.348,-4.029,-234.809,-,-667.555
Debt repayment,-,-,-,-13.86,-
Common stock issued,-,211.948,2200,2866,2789
Common stock repurchased,-,-18.266,-333.367,-235.373,-161.167
Net cash used privided by (used for) financing activities,-,393.682,1867,2917,2958
Net change in cash,975.664,-689.571,-884.032,1489,187.328
Cash at beginning of period,77.579,818.553,1703,213.198,25.87
Cash at end of period,1053,128.982,818.553,1703,213.198
Capital Expenditure,-0.348,-4.029,-456.575,-,-
Free Cash Flow,-805.857,-1083,-2972,-1427,-2103
