Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,1799427,1833790,1785218,1772479
Liabilities,,,,
Total Liabilities,1609919,1654604,1602491,1596135
Stockholders' Equity,,,,
Common Stock,181,181,181,181
Retained Earnings,102465,94112,91147,87638
Accumulated other comprehensive income,-1280,-9910,-754,-1832
Total stockholders' equity,189508,179186,182727,176344
Total liabilities and stockholders' equity,1799427,1833790,1785218,1772479
