Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-819719,788218,-542526,350014
Depreciation & amortization,-,228583,264340,354933
Change in working capital,-,-436654,-3132730,-1221671
Inventory,-,-536219,339723,208778
Other working capital,-,54020,-2301477,-1726468
Other non-cash items,-,-74082,1253737,-333751
Net cash provided by operating activites,-,96974,-2180674,-1681235
Investments in property plant and equipment,-,-42954,-120803,-45233
Purchases of investments,-,-135296,-,-187473
Sales/Maturities of investments,-,125375,218847,167753
Other investing activites,-,183169,247420,-51899
Net cash used for investing activites,-,579548,395448,-116528
Net change in cash,-,583441,-1814718,-1808485
Cash at beginning of period,-,3699550,5514269,7322755
Cash at end of period,-,4282992,3699550,5514269
Operating Cash Flow,-,96974,-2180674,-1681235
Capital Expenditure,-,-42954,-120803,-45233
Free Cash Flow,-,54020,-2301477,-1726468
