Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-196538,-196538,-277310,-85251,-58838
Depreciation & amortization,-,-,3709,5174,5165
Change in working capital,-,-,-28069,32612,-76882
Inventory,-,-,13514,-8349,11280
Other working capital,-,-,-81306,-17515,-133080
Other non-cash items,-,-,723,1922,1999
Net cash provided by operating activites,-,-,-80039,-16751,-131292
Investments in property plant and equipment,-,-,-1267,-764,-1788
Purchases of investments,-,-,-,0,-36539
Sales/Maturities of investments,-,-,5280,100530,0
Other investing activites,-,-,-38115,41833,79004
Net cash used for investing activites,-,-,-28614,145803,41073
Net change in cash,-,-,-139093,192659,-101806
Cash at beginning of period,-,-,325612,132953,234759
Cash at end of period,-,-,186519,325612,132953
Operating Cash Flow,-,-,-80039,-16751,-131292
Capital Expenditure,-,-,-1267,-764,-1788
Free Cash Flow,-,-,-81306,-17515,-133080
