Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1435770,1615384,1393244,1415833
Depreciation & amortization,-,1459858,1245189,1028294
Change in working capital,-,-457677,133720,-1792477
Inventory,-,-1138293,-234436,-981066
Other working capital,-,-404179,312117,-489300
Other non-cash items,-,-203743,33817,-28322
Net cash provided by operating activites,-,2646407,2835662,941554
Investments in property plant and equipment,-,-3050586,-2523545,-1430854
Purchases of investments,-,-2983,-2985,-2405
Sales/Maturities of investments,-,44573,32432,17908
Other investing activites,-,-40221,-20682,-18427
Net cash used for investing activites,-,-3041334,-2486559,-1404513
Net change in cash,-,-573164,1148974,-105324
Cash at beginning of period,-,2317365,1168391,1273715
Cash at end of period,-,1744201,2317365,1168391
Operating Cash Flow,-,2646407,2835662,941554
Capital Expenditure,-,-3050586,-2523545,-1430854
Free Cash Flow,-,-404179,312117,-489300
