Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1565000,-231000,2518000,2987000
Depreciation & amortization,-,2194000,1878000,1918000
Change in working capital,-,1941000,6160000,-2840000
Inventory,-,375000,-147000,77000
Other working capital,-,177000,9105000,-538000
Other non-cash items,-,-505000,536000,-67000
Net cash provided by operating activites,-,3262000,10959000,1297000
Investments in property plant and equipment,-,-3085000,-1854000,-1835000
Acquisitions net,-,-41000,-,-54000
Purchases of investments,-,-6000,-6000,-4000
Sales/Maturities of investments,-,10000,246000,-
Other investing activites,-,-280000,-244000,-53000
Net cash used for investing activites,-,-3250000,-779000,-1905000
Net change in cash,-,-1878000,9270000,-1639000
Cash at beginning of period,-,22298000,13027000,14667000
Cash at end of period,-,20419000,22298000,13027000
Operating Cash Flow,-,3262000,10959000,1297000
Capital Expenditure,-,-3085000,-1854000,-1835000
Free Cash Flow,-,177000,9105000,-538000
