Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-2200,-2000,-10900,-9700
Purchases of investments,-470100,-558200,-218400,-256200
Sales/Maturities of investments,424000,473700,305300,433500
Net cash used for investing activites,-48300,-86500,76000,167600
Net change in cash,-55700,-95500,500,184400
Cash at beginning of period,67000,207800,207300,22900
Cash at end of period,11300,112300,207800,207300
Capital Expenditure,-2200,-2000,-10900,-9700
Free Cash Flow,28000,27300,21300,23100
