Breakdown,ttm,2/28/2019,3/31/2017
Net Income,320847,203014,711116
Depreciation & amortization,-,222564,166899
Stock based compensation,-,75900,-
Change in working capital,-,-223280,-104145
Inventory,-,-226460,23843
Other working capital,-,92116,386758
Other non-cash items,-,15321,397
Net cash provided by operating activites,-,346298,700816
Investments in property plant and equipment,-,-254182,-314058
Acquisitions net,-,-34104,-
Purchases of investments,-,-56530,-34367
Sales/Maturities of investments,-,-,158712
Other investing activites,-,-1669,-27199
Net cash used for investing activites,-,-346485,-216912
Net change in cash,-,-110851,480904
Cash at beginning of period,-,2139903,1061720
Cash at end of period,-,2029051,1542625
Operating Cash Flow,-,346298,700816
Capital Expenditure,-,-254182,-314058
Free Cash Flow,-,92116,386758
